iter	Logloss
0	0.6860580964
1	0.6799992485
2	0.67390088
3	0.6686385215
4	0.6638763353
5	0.6599754466
6	0.6557734
7	0.6523341908
8	0.6487025223
9	0.6453658885
10	0.6423229463
11	0.6396487553
12	0.6374517463
13	0.6351559102
14	0.6330420531
15	0.6310265006
16	0.6292542762
17	0.6276543881
18	0.6260513737
19	0.6244439546
20	0.6230244564
21	0.6218497503
22	0.6206613898
23	0.6196040618
24	0.6183663872
25	0.6172516785
26	0.6162273936
27	0.6153026008
28	0.6144043868
29	0.61375774
30	0.6130206781
31	0.6123220701
32	0.6116068066
33	0.6109271254
34	0.6103213248
35	0.6096641286
36	0.6090807957
37	0.6085100549
38	0.6078580967
39	0.6072831456
40	0.6067479006
41	0.6062493433
42	0.6058143159
43	0.6054520032
44	0.6049954407
45	0.6044185378
46	0.6040418151
47	0.6035266758
48	0.6031163789
49	0.6027999215
50	0.6023878844
51	0.6019326433
52	0.6015667378
53	0.6011678152
54	0.600820396
55	0.6005065123
56	0.6001704113
57	0.5999128503
58	0.5996881078
59	0.5994491152
60	0.5991232484
61	0.5987037191
62	0.5984554207
63	0.5982687219
64	0.5980913289
65	0.5978656969
66	0.597640704
67	0.5973738394
68	0.5971095204
69	0.5967093411
70	0.5965057666
71	0.5962169675
72	0.596009729
73	0.5957857034
74	0.5955526937
75	0.5953724183
76	0.595140337
77	0.5949662367
78	0.5946863158
79	0.5944033097
80	0.5942283176
81	0.5940477874
82	0.5938446383
83	0.5936916627
84	0.5935430593
85	0.5933517789
86	0.5931087876
87	0.5929121374
88	0.5927789394
89	0.5926272355
90	0.5924764644
91	0.5923335417
92	0.5921070677
93	0.5919595223
94	0.5918295802
95	0.5916097368
96	0.5915048512
97	0.5913299088
98	0.5910485025
99	0.5908800893
100	0.5907760004
101	0.5905960337
102	0.5904542899
103	0.5903352319
104	0.5902054992
105	0.5900794025
106	0.5899481757
107	0.5898590172
108	0.5897767289
109	0.5895591979
110	0.5893441283
111	0.5892167556
112	0.589113485
113	0.5890284547
114	0.5888886908
115	0.5887612576
116	0.5886414935
117	0.5885525379
118	0.5884244656
119	0.5882775636
120	0.5881830786
121	0.5880786335
122	0.5880118045
123	0.5879200636
124	0.5877551114
125	0.5876909425
126	0.5875976946
127	0.5874499613
128	0.5873332136
129	0.587253417
130	0.5871435223
131	0.5870673227
132	0.5869815561
133	0.5868718212
134	0.5867789274
135	0.5866779282
136	0.5865624047
137	0.5864781991
138	0.5863675336
139	0.5862553934
140	0.5861463473
141	0.5859980742
142	0.5858009491
143	0.5857150702
144	0.5856333628
145	0.5855640357
146	0.5855162026
147	0.5853498902
148	0.5852638257
149	0.5851933931
150	0.5851261302
151	0.5850406853
152	0.584956795
153	0.5849054685
154	0.5847825823
155	0.5846896453
156	0.5846106584
157	0.5844671289
158	0.58438703
159	0.5843263071
160	0.5842367447
161	0.5841563716
162	0.5840122398
163	0.5839401728
164	0.5838917978
165	0.5838082702
166	0.5837278669
167	0.5836693656
168	0.5836310759
169	0.583545143
170	0.5834440899
171	0.5832994507
172	0.5831930969
173	0.5831269524
174	0.5830369453
175	0.5829562267
176	0.5828778638
177	0.5827666779
178	0.5827144445
179	0.5826328256
180	0.5825216937
181	0.5824396754
182	0.5823073129
183	0.5822336978
184	0.5821690042
185	0.582105239
186	0.5820500261
187	0.5819719028
188	0.5819220941
189	0.5818453159
190	0.5817716706
191	0.5816838443
192	0.5816287393
193	0.5815432404
194	0.5814225199
195	0.5813707443
196	0.5812923511
197	0.5812145624
198	0.5811249159
199	0.5810040313
