Model,CV_AUC,Test_AUC
LightGBM,0.7556050096599641,0.7596665141611572
XGBoost,0.7535663756888862,0.7575854551851284
CatBoost,0.752824004631189,0.7558918620872835
Logistic_Regression,0.7469231631465935,0.749962992210107
Random_Forest,0.72831690041421,0.7327246756871129
